TCS #, Main , Side_1_Route ,Activation_Date,Latitude,Longitude,Count_Date,Peak_Hr_Vehicle_Volume,Peak_Hr_Pedestrian_Volume,Year,Day
2, JARVIS ST , FRONT ST E ,11/15/1948,43.649418,-79.371446,06-21-2017,15662,13535,2017,Wednesday
3, KING ST E , JARVIS ST ,08/23/1950,43.6504606,-79.3719239,09-17-2016,12960,7333,2016,Saturday
4, JARVIS ST , ADELAIDE ST E ,09/12/1958,43.6515337,-79.37236,11-08-2016,17770,7083,2016,Tuesday
5, JARVIS ST , RICHMOND ST E ,04/21/1962,43.6527176,-79.372824,12-08-2015,19678,4369,2015,Tuesday
6, JARVIS ST , QUEEN ST E ,08/24/1928,43.653704,-79.373238,09-17-2016,14487,3368,2016,Saturday
7, JARVIS ST , SHUTER ST ,11/18/1948,43.655357,-79.373862,11-08-2016,15846,3747,2016,Tuesday
8, JARVIS ST , DUNDAS ST E ,06/21/1928,43.657052,-79.374531,06-27-2017,17835,5858,2017,Tuesday
9, JARVIS ST , GERRARD ST E ,07/14/1941,43.660432,-79.3758537,11-01-2016,18196,6493,2016,Tuesday
10, JARVIS ST , CARLTON ST ,06/28/1928,43.66242,-79.3767079,01-21-2017,14222,6165,2017,Saturday
11, JARVIS ST , WELLESLEY ST E ,09/28/1948,43.6662894,-79.378325,11-01-2016,18163,5213,2016,Tuesday
12, JARVIS ST , ISABELLA ST ,09/13/1960,43.668869,-79.3794158,11-01-2016,15197,2713,2016,Tuesday
13, MOUNT PLEASANT RD , CHARLES ST E ,05/23/1950,43.6699892,-79.3799226,11-01-2016,16280,2976,2016,Tuesday
14, BLOOR ST E , TED ROGERS WAY ,03/28/1951,43.6715773,-79.38052,01-11-2018,15844,9810,2018,Thursday
15, CHURCH ST , FRONT ST E ,04/24/1950,43.64851318,-79.37383354,04-20-2015,10467,7381,2015,Monday
16, KING ST E , CHURCH ST ,01/10/1928,43.6499164,-79.374409,11-08-2016,12017,20866,2016,Tuesday
17, CHURCH ST , ADELAIDE ST E ,11/22/1948,43.651173,-79.374925,11-08-2016,13816,9692,2016,Tuesday
18, CHURCH ST , RICHMOND ST E ,11/22/1948,43.652441,-79.375448,11-08-2016,10374,7179,2016,Tuesday
19, QUEEN ST E , CHURCH ST ,08/24/1983,43.65317,-79.375754,11-08-2016,13867,11799,2016,Tuesday
20, CHURCH ST , SHUTER ST ,11/18/1948,43.654817,-79.376441,11-08-2016,11028,6952,2016,Tuesday
21, DUNDAS ST E , CHURCH ST ,12/17/1952,43.656499,-79.377127,04-13-2015,13764,10302,2015,Monday
22, CHURCH ST , GERRARD ST E ,07/18/1941,43.659858,-79.378522,11-08-2016,13437,15840,2016,Tuesday
23, CHURCH ST , CARLTON ST ,02/17/1932,43.661871,-79.379335,01-28-2017,11648,11072,2017,Saturday
24, CHURCH ST , WELLESLEY ST E ,07/18/1941,43.6657034,-79.380928,01-18-2017,12231,12520,2017,Wednesday
25, BLOOR ST E , CHURCH ST ,02/19/1932,43.6710224,-79.383123,01-11-2018,18339,27313,2018,Thursday
26, ADELAIDE ST E , VICTORIA ST ,09/27/1928,43.6506539,-79.377248,06-13-2017,9968,18326,2017,Tuesday
27, VICTORIA ST , RICHMOND ST E ,11/03/1927,43.6519522,-79.377756,06-15-2017,11767,10589,2017,Thursday
28, QUEEN ST E , VICTORIA ST ,11/03/1927,43.6526703,-79.378066,06-14-2017,10087,24100,2017,Wednesday
29, YONGE ST , FRONT ST ,08/24/1928,43.646846,-79.376931,09-17-2016,10996,10950,2016,Saturday
