,"",""
648746," YONGE ST ","Wednesday"
516516," YONGE ST ","Saturday"
423675," EGLINTON AVE W ","Monday"
405897," STEELES AVE W ","Wednesday"
372938," BAY ST ","Thursday"
338712," KEELE ST ","Tuesday"
336277," EGLINTON AVE E ","Monday"
324322," YONGE ST ","Tuesday"
314764," SHEPPARD AVE E ","Wednesday"
306879," KINGSTON RD ","Wednesday"
305660," BLOOR ST W ","Thursday"
298896," FINCH AVE E ","Tuesday"
283527," DUFFERIN ST ","Monday"
276350," LAWRENCE AVE E ","Tuesday"
270943," BLOOR ST W ","Wednesday"
264086," LAWRENCE AVE E ","Monday"
262818," SHEPPARD AVE E ","Saturday"
259577," WARDEN AVE ","Tuesday"
259156," BATHURST ST ","Wednesday"
255587," FINCH AVE W ","Tuesday"
244414," BATHURST ST ","Tuesday"
243879," LAKE SHORE BLVD W ","Wednesday"
242536," KIPLING AVE ","Tuesday"
240483," YONGE ST ","Monday"
236118," EGLINTON AVE E ","Thursday"
235490," EGLINTON AVE E ","Wednesday"
229748," KENNEDY RD ","Thursday"
228166," STEELES AVE E ","Wednesday"
226410," AVENUE RD ","Thursday"
226336," WESTON RD ","Thursday"
225735," BATHURST ST ","Saturday"
225707," JANE ST ","Thursday"
225225," JANE ST ","Tuesday"
223904," STEELES AVE E ","Monday"
220204," MARKHAM RD ","Saturday"
219502," ST CLAIR AVE W ","Thursday"
219323," KINGSTON RD ","Thursday"
217823," BATHURST ST ","Monday"
216869," BIRCHMOUNT RD ","Wednesday"
214554," FINCH AVE W ","Wednesday"
213932," KING ST W ","Wednesday"
210089," DUNDAS ST W ","Wednesday"
203861," VICTORIA PARK AVE ","Wednesday"
202406," SPADINA AVE ","Saturday"
201348," LAKE SHORE BLVD W ","Tuesday"
201249," YORK MILLS RD ","Wednesday"
197546," LAKE SHORE BLVD W ","Thursday"
197253," SHEPPARD AVE E ","Tuesday"
197141," THE QUEENSWAY ","Wednesday"
197071," DUFFERIN ST ","Tuesday"
195138," DUNDAS ST W ","Saturday"
194674," DUFFERIN ST ","Saturday"
191884," DANFORTH AVE ","Thursday"
190108," BAYVIEW AVE ","Monday"
190108," JARVIS ST ","Tuesday"
188035," STEELES AVE E ","Thursday"
185284," BRIMLEY RD ","Thursday"
181963," DUNDAS ST W ","Tuesday"
180939," SHEPPARD AVE E ","Thursday"
179039," UNIVERSITY AVE ","Saturday"
178145," BLOOR ST W ","Tuesday"
178004," THE QUEENSWAY ","Tuesday"
177169," DUNDAS ST W ","Thursday"
174493," DON MILLS RD ","Wednesday"
172831," LAWRENCE AVE E ","Wednesday"
167705," EGLINTON AVE W ","Thursday"
164606," DUNDAS ST W ","Monday"
162162," BAYVIEW AVE ","Tuesday"
161389," STEELES AVE E ","Saturday"
161197," DIXON RD ","Tuesday"
161163," AVENUE RD ","Tuesday"
160259," DUFFERIN ST ","Wednesday"
158768," KINGSTON RD ","Saturday"
156550," STEELES AVE W ","Monday"
